Year,SD_Mean
1970,5.2
1971,5.15
1972,4.833333333
1973,5.35
1976,5.966666667
1977,4.1875
1978,4.67
1979,5.558333333
1980,4.841666667
1981,4.591666667
1982,4.12
1983,4.225
1984,4.377777778
1985,4.058333333
1986,4.091666667
1987,4.358333333
1988,4.616666667
1989,5.25
1990,5.25
1991,4.7
1992,4.35
1993,2.916666667
1994,4.29
1995,4.19
1996,4.791666667
1997,4.2
1998,5.193666667
1999,4.600833333
2000,4.735833333
2001,3.333333333
2002,2.636666667
2003,2.34
2004,2.764
2005,3.805
2006,3.304
2007,2.96
2008,4.278333333
2009,4.971666667
2010,3.29
2011,3.817222222
2012,4.668333333
2013,4.808333333
2014,3.423333333
2015,2.196666667
2016,3.071527778
2017,4.296527778
2018,2.817388889
2019,3.325066667
2020,3.160444444
2021,2.624305556
2022,2.536
